"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 18 17:13:33 IST 2022","Tue Oct 18 17:13:40 IST 2022","7303","","EndTOEnd01","","EndTOEnd01","switching to user interFace Test","switching to user interFace Test",""
"passed","Tue Oct 18 16:29:35 IST 2022","Tue Oct 18 16:29:38 IST 2022","2424","","deleteAllProductsAndSubCategoryAndCategory Test","","deleteAllProductsAndSubCategoryAndCategory Test","admin log out Test","admin log out Test",""
"passed","Tue Oct 18 17:12:41 IST 2022","Tue Oct 18 17:12:58 IST 2022","16477","","EndTOEnd01","","EndTOEnd01","launch url Test","launch url Test",""
"passed","Tue Oct 18 17:14:05 IST 2022","Tue Oct 18 17:14:18 IST 2022","13378","","EndTOEnd01","","EndTOEnd01","switch to admin and update the placed order Test","switch to admin and update the placed order Test",""
"passed","Tue Oct 18 17:13:10 IST 2022","Tue Oct 18 17:13:15 IST 2022","5148","","EndTOEnd01","","EndTOEnd01","create new sub category belong created new category Test","create new sub category belong created new category Test",""
"passed","Tue Oct 18 16:29:02 IST 2022","Tue Oct 18 16:29:07 IST 2022","5245","","deleteAllProductsAndSubCategoryAndCategory Test","","deleteAllProductsAndSubCategoryAndCategory Test","launch url Test","launch url Test",""
"passed","Tue Oct 18 17:13:03 IST 2022","Tue Oct 18 17:13:10 IST 2022","7061","","EndTOEnd01","","EndTOEnd01","create new category Test","create new category Test",""
"passed","Tue Oct 18 17:13:15 IST 2022","Tue Oct 18 17:13:33 IST 2022","17561","","EndTOEnd01","","EndTOEnd01","insert product belong created new category and sub category Test","insert product belong created new category and sub category Test",""
"passed","Tue Oct 18 17:11:19 IST 2022","Tue Oct 18 17:11:21 IST 2022","2734","","userNewAccountCreationTest","","userNewAccountCreationTest","user log out Test","user log out Test",""
"passed","Tue Oct 18 17:14:27 IST 2022","Tue Oct 18 17:14:29 IST 2022","2391","","EndTOEnd01","","EndTOEnd01","user log out Test","user log out Test",""
"passed","Tue Oct 18 17:13:40 IST 2022","Tue Oct 18 17:13:50 IST 2022","9807","","EndTOEnd01","","EndTOEnd01","log in user Test","log in user Test",""
"passed","Tue Oct 18 17:12:58 IST 2022","Tue Oct 18 17:13:03 IST 2022","5393","","EndTOEnd01","","EndTOEnd01","admin log in Test","admin log in Test",""
"passed","Tue Oct 18 17:14:01 IST 2022","Tue Oct 18 17:14:05 IST 2022","4430","","EndTOEnd01","","EndTOEnd01","Procced to check out Test","Procced to check out Test",""
"passed","Tue Oct 18 17:11:07 IST 2022","Tue Oct 18 17:11:19 IST 2022","11608","","userNewAccountCreationTest","","userNewAccountCreationTest","log in user with created account Test","log in user with created account Test",""
"passed","Tue Oct 18 17:14:18 IST 2022","Tue Oct 18 17:14:21 IST 2022","2763","","EndTOEnd01","","EndTOEnd01","admin log out Test","admin log out Test",""
"broken","Tue Oct 18 16:29:27 IST 2022","Tue Oct 18 16:29:35 IST 2022","8081","","deleteAllProductsAndSubCategoryAndCategory Test","","deleteAllProductsAndSubCategoryAndCategory Test","delete all Category Test","delete all Category Test",""
"passed","Tue Oct 18 17:14:21 IST 2022","Tue Oct 18 17:14:27 IST 2022","5510","","EndTOEnd01","","EndTOEnd01","Switch to user and track the order Test","Switch to user and track the order Test",""
"broken","Tue Oct 18 16:29:12 IST 2022","Tue Oct 18 16:29:19 IST 2022","7650","","deleteAllProductsAndSubCategoryAndCategory Test","","deleteAllProductsAndSubCategoryAndCategory Test","delete all product Test","delete all product Test",""
"passed","Tue Oct 18 17:10:58 IST 2022","Tue Oct 18 17:11:07 IST 2022","9289","","userNewAccountCreationTest","","userNewAccountCreationTest","create new user test","create new user test",""
"passed","Tue Oct 18 17:13:50 IST 2022","Tue Oct 18 17:13:53 IST 2022","3458","","EndTOEnd01","","EndTOEnd01","search for created product Test","search for created product Test",""
"passed","Tue Oct 18 16:29:07 IST 2022","Tue Oct 18 16:29:12 IST 2022","4482","","deleteAllProductsAndSubCategoryAndCategory Test","","deleteAllProductsAndSubCategoryAndCategory Test","admin log in Test","admin log in Test",""
"broken","Tue Oct 18 16:29:19 IST 2022","Tue Oct 18 16:29:27 IST 2022","7895","","deleteAllProductsAndSubCategoryAndCategory Test","","deleteAllProductsAndSubCategoryAndCategory Test","delete all subCategory Test","delete all subCategory Test",""
"passed","Tue Oct 18 17:13:53 IST 2022","Tue Oct 18 17:14:01 IST 2022","7309","","EndTOEnd01","","EndTOEnd01","Add to Cart Test","Add to Cart Test",""
"passed","Tue Oct 18 17:10:52 IST 2022","Tue Oct 18 17:10:58 IST 2022","5438","","userNewAccountCreationTest","","userNewAccountCreationTest","launch url Test","launch url Test",""
